1,Université Amadou Mahtar MBOW,"PANEL 1 - Regards croisés sur les modèles des universités virtuelles/numériques (UV-BF, UVCI, UNCHK)
https://t.co/FFM0dmTHSY",Thu Sep 26 15:44:09 +0000 2024,1,4
2,Open Burkina,"🌍Dans le cadre de la Semaine Africaine de l'Ingénierie 2024, avec le soutien de l'UNESCO et en collaboration avec l'Université Virtuelle du Burkina Faso et @citadel_uvbf, nous organisons une série d'ateliers du 19 au 21 sep à ISGE-BF. #SemaineIngénierie
 https://t.co/VpwtcMjsC0 https://t.co/z5coXEUAcP",Thu Sep 19 23:56:13 +0000 2024,1,1
3,Université numérique Cheikh Hamidou KANE (UN-CHK),"[#CONFERENCE]

Rejoignez-nous aujourd'hui à partir de 15h pour suivre l'invité des « Kinkélibas pédagogiques » de l'#UNCHK_SN, Dr Drissa ZONGO, enseignant-chercheur en technologies éducatives à l’Université virtuelle du Burkina Faso.

Lien YT🔴 : https://t.co/rSvPVVK6m0.

#Kebetu https://t.co/JcB1Q46HrC",Tue Aug 27 11:58:26 +0000 2024,0,2
4,La plume,Université Virtuelle du Burkina Faso : Les Coordonnateurs du Projet de construction et d’équipement partiel installés https://t.co/87InyetQ0C,Wed Aug 07 15:19:35 +0000 2024,0,0
5,CITADEL UVBF,"CITADEL TALK INVITATION 13
Thème : Etude et adaptation de techniques d'IA pour la traduction automatique des langues locales du Burkina Faso
Paneliste : Hamed Joseph OUILY
📅 01/03/2024
🕔 17h GMT
📍 Université Virtuelle du Burkina Faso(UVBF)
Inscription : https://t.co/U62EfMvH7L https://t.co/JZFszIzFoi",Thu Feb 22 17:37:25 +0000 2024,0,1
6,JD ÉDITIONS MAG & TV,"Burkina Faso / Enseignement Supérieur, Recherche et Innovation : Les performances de l’Université Virtuelle (UV-BF) évaluées - https://t.co/jbjhyUlYO6",Mon Jan 29 11:23:28 +0000 2024,0,0
7,Sputnik Afrique,"L'université russe #Synergy ouvrira une filiale au Burkina Faso

La délégation universitaire a été reçue par le chef du gouvernement à Ouagadougou ce 27 décembre.

""L'Université participera aussi à la mise en place d'une université virtuelle du Burkina Faso,"" a dit son Président. https://t.co/I2pD2srwtQ",Fri Dec 29 08:02:00 +0000 2023,14,177
8,Sputnik Afrique,"L'université russe #Synergy ouvrira une filiale au Burkina Faso

La délégation universitaire a été reçue par le chef du gouvernement à Ouagadougou ce 27 décembre.

""L'Université participera aussi à la mise en place d'une université virtuelle du Burkina Faso,"" a dit son Président. https://t.co/e3Iavf36oC",Thu Dec 28 16:42:00 +0000 2023,6,30
9,InvEnt 226,"En parallèle, elle partage ses connaissances en tant qu'enseignante vacataire en Machine Learning (ML) pour le programme de Master en Data
Science et IA à l'Université Virtuelle du Burkina Faso.",Wed Dec 13 15:26:37 +0000 2023,1,1
10,Burkinabè avant tout,"Burkina Faso : Inauguration de l'Espace Numérique Ouvert (ENO) de Karpala de l'Université Virtuelle du Burkina Faso

https://t.co/p6MGxKHv7l",Sun Aug 20 06:49:01 +0000 2023,0,0
11,Digital Magazine Burkina Faso,"Burkina Faso : Inauguration de l'Espace Numérique Ouvert (ENO) de Karpala de l'Université Virtuelle du Burkina Faso

https://t.co/rqQgwDKNcw",Sun Aug 20 06:48:47 +0000 2023,0,2
12,UpToDateAfrica,"🇧🇫Burkina-Faso  : Le Premier ministre, Dr Apollinaire Joachimson Kyélèm de Tambéla, a inauguré, ce vendredi 18 août 2023 à Karpala (Ouagadougou), l’Espace Numérique Ouvert (ENO) de l'Université Virtuelle du Burkina Faso. 
#utdaburkina_faso #utdainfo https://t.co/aiPJ7M2ybs",Fri Aug 18 22:22:16 +0000 2023,0,5
13,SIG Burkina Faso,"Le Premier ministre Apollinaire Joachimson KYELEM de TAMBELA a inauguré, le vendredi 18 août 2023 à Ouagadougou, l’Espace Numérique Ouvert (ENO) de l’Université virtuelle du Burkina Faso (UV-BF). 
👇👇👇👇
https://t.co/O48YPUSg0p

#Com_Gouv_BF
#SigBurkina
#BurkinaFaso https://t.co/n4ZP662EgF",Fri Aug 18 17:13:03 +0000 2023,1,3
14,Seydou KONSIMBO,"Les informaticiens de certains #IESR du BURKINA ont participé à cet atelier de fédération des identités tenu à l'UVBF et animé par @ricoattou.
Un cadre d'échange très riche en connaissance que j'aimerais revoir.
@Universite_JKZ",Sat Aug 05 09:32:25 +0000 2023,1,1
15,CITADEL UVBF,"Du 3 au 7 juillet dernier, ils étaient une vingtaine d'étudiants à prendre part à l'atelier de renforcement des capacités en rédaction scientifique et gestion bibliographique organisé par CITADEL au sein de l'Université Virtuelle du Burkina. 
@Universite_JKZ @UVBF https://t.co/U6GInH4xGu",Wed Jul 12 20:31:01 +0000 2023,0,0
16,JJ Quairiat,"Journée mondiale des Femmes « Pour un monde digital inclusif : innovation et technologies pour l’égalité des sexes ». Au 🇧🇫, soutien 🇧🇪 à l’Université virtuelle #uvbf avec @Enabel_Belgium 

#EmbraceEquity
#IWD2023
#GenerationEquality https://t.co/MZ2t8eQmuU",Wed Mar 08 07:12:02 +0000 2023,0,5
17,DIRECCT,"#DIRECCT
🌐 En route vers une Communauté africaine du #numérique éducatif ! 

Le 1er mars 2023 s'est tenu la 1ère rencontre ""Communauté de Pratiques"" 📍Université Virtuelle du Burkina Faso 

🗞️Pour en savoir plus : https://t.co/T6OzhS7r1f https://t.co/yKL39ZHv3Q",Mon Mar 06 14:04:07 +0000 2023,2,7
