"🌍Dans le cadre de la Semaine Africaine de l'Ingénierie 2024, avec le soutien de l'UNESCO et en collaboration avec l'Université Virtuelle du Burkina Faso et @citadel_uvbf, nous organisons une série d'ateliers du 19 au 21 sep à ISGE-BF. #SemaineIngénierie
 https://t.co/VpwtcMjsC0 https://t.co/z5coXEUAcP",Open Burkina,Thu Sep 19 23:56:13 +0000 2024
"[#CONFERENCE]

Rejoignez-nous aujourd'hui à partir de 15h pour suivre l'invité des « Kinkélibas pédagogiques » de l'#UNCHK_SN, Dr Drissa ZONGO, enseignant-chercheur en technologies éducatives à l’Université virtuelle du Burkina Faso.

Lien YT🔴 : https://t.co/rSvPVVK6m0.

#Kebetu https://t.co/JcB1Q46HrC",Université numérique Cheikh Hamidou KANE (UN-CHK),Tue Aug 27 11:58:26 +0000 2024
Université Virtuelle du Burkina Faso : Les Coordonnateurs du Projet de construction et d’équipement partiel installés https://t.co/87InyetQ0C,La plume,Wed Aug 07 15:19:35 +0000 2024
"CITADEL TALK INVITATION 13
Thème : Etude et adaptation de techniques d'IA pour la traduction automatique des langues locales du Burkina Faso
Paneliste : Hamed Joseph OUILY
📅 01/03/2024
🕔 17h GMT
📍 Université Virtuelle du Burkina Faso(UVBF)
Inscription : https://t.co/U62EfMvH7L https://t.co/JZFszIzFoi",CITADEL UVBF,Thu Feb 22 17:37:25 +0000 2024
"L'université russe #Synergy ouvrira une filiale au Burkina Faso

La délégation universitaire a été reçue par le chef du gouvernement à Ouagadougou ce 27 décembre.

""L'Université participera aussi à la mise en place d'une université virtuelle du Burkina Faso,"" a dit son Président. https://t.co/I2pD2srwtQ",Sputnik Afrique,Fri Dec 29 08:02:00 +0000 2023
"L'université russe #Synergy ouvrira une filiale au Burkina Faso

La délégation universitaire a été reçue par le chef du gouvernement à Ouagadougou ce 27 décembre.

""L'Université participera aussi à la mise en place d'une université virtuelle du Burkina Faso,"" a dit son Président. https://t.co/e3Iavf36oC",Sputnik Afrique,Thu Dec 28 16:42:00 +0000 2023
"En parallèle, elle partage ses connaissances en tant qu'enseignante vacataire en Machine Learning (ML) pour le programme de Master en Data
Science et IA à l'Université Virtuelle du Burkina Faso.",InvEnt 226,Wed Dec 13 15:26:37 +0000 2023
"Burkina Faso : Inauguration de l'Espace Numérique Ouvert (ENO) de Karpala de l'Université Virtuelle du Burkina Faso

https://t.co/p6MGxKHv7l",Burkinabè avant tout,Sun Aug 20 06:49:01 +0000 2023
"Burkina Faso : Inauguration de l'Espace Numérique Ouvert (ENO) de Karpala de l'Université Virtuelle du Burkina Faso

https://t.co/rqQgwDKNcw",Digital Magazine Burkina Faso,Sun Aug 20 06:48:47 +0000 2023
"🇧🇫Burkina-Faso  : Le Premier ministre, Dr Apollinaire Joachimson Kyélèm de Tambéla, a inauguré, ce vendredi 18 août 2023 à Karpala (Ouagadougou), l’Espace Numérique Ouvert (ENO) de l'Université Virtuelle du Burkina Faso. 
#utdaburkina_faso #utdainfo https://t.co/aiPJ7M2ybs",UpToDateAfrica,Fri Aug 18 22:22:16 +0000 2023
"Le Premier ministre Apollinaire Joachimson KYELEM de TAMBELA a inauguré, le vendredi 18 août 2023 à Ouagadougou, l’Espace Numérique Ouvert (ENO) de l’Université virtuelle du Burkina Faso (UV-BF). 
👇👇👇👇
https://t.co/O48YPUSg0p

#Com_Gouv_BF
#SigBurkina
#BurkinaFaso https://t.co/n4ZP662EgF",SIG Burkina Faso,Fri Aug 18 17:13:03 +0000 2023
"Les informaticiens de certains #IESR du BURKINA ont participé à cet atelier de fédération des identités tenu à l'UVBF et animé par @ricoattou.
Un cadre d'échange très riche en connaissance que j'aimerais revoir.
@Universite_JKZ",Seydou KONSIMBO,Sat Aug 05 09:32:25 +0000 2023
"Du 3 au 7 juillet dernier, ils étaient une vingtaine d'étudiants à prendre part à l'atelier de renforcement des capacités en rédaction scientifique et gestion bibliographique organisé par CITADEL au sein de l'Université Virtuelle du Burkina. 
@Universite_JKZ @UVBF https://t.co/U6GInH4xGu",CITADEL UVBF,Wed Jul 12 20:31:01 +0000 2023
"Journée mondiale des Femmes « Pour un monde digital inclusif : innovation et technologies pour l’égalité des sexes ». Au 🇧🇫, soutien 🇧🇪 à l’Université virtuelle #uvbf avec @Enabel_Belgium 

#EmbraceEquity
#IWD2023
#GenerationEquality https://t.co/MZ2t8eQmuU",JJ Quairiat,Wed Mar 08 07:12:02 +0000 2023
"#DIRECCT
🌐 En route vers une Communauté africaine du #numérique éducatif ! 

Le 1er mars 2023 s'est tenu la 1ère rencontre ""Communauté de Pratiques"" 📍Université Virtuelle du Burkina Faso 

🗞️Pour en savoir plus : https://t.co/T6OzhS7r1f https://t.co/yKL39ZHv3Q",DIRECCT,Mon Mar 06 14:04:07 +0000 2023
"CITADEL TALK INVITATION : l’Intelligence Artificielle en Santé, définition et promesse.
23 Dec 2022 avec Pr. @nikiema_jn

 Lien : https://t.co/24YS5IP7v7

@BissyandeF @titinto_ @RDIUSKAF
@CHUYalgado @UMontreal @ESPUM_UdeM @Universite_JKZ
@AI4Dev @Sida @IDRC_CRDI @OpenBurkina https://t.co/klUQIVSF0h",CITADEL UVBF,Thu Dec 15 11:21:42 +0000 2022
"🗣️#TALK_INVITATION🗣️ sur ""L'intelligence Artificielle dans le Marketing: Réduire les dépenses et augmenter la rentabilité "" animée par @Ou1David, Ingénieur à Micropole France. RDV: 18 Novembre 2022 à 16h:00 au siège l'Université Virtuelle  ou en ligne:https://t.co/8tQjnn6mvg https://t.co/PLfkxOCT8a",CITADEL UVBF,Mon Nov 14 17:29:10 +0000 2022
"L’Université Virtuelle du Burkina Faso (UV-BF) dispose d’un datacenter exclusivement dédié à l’éducation 
#DCRP_MESRI
#Enseignement_Supérieur
#Innovation_BF
👇👇🇧🇫🇧🇫🇧🇫🇧🇫👇
https://t.co/x4nj0AuiUo",DCRP/MESRI,Thu Sep 22 09:53:31 +0000 2022
"💡#DIRECCT #Education 
Dans le cadre du projet Africa Digital Campus, en août 2022, l'@auf_org et l'Université Virtuelle du Burkina-Faso ont formé 21 professeurs à l’enseignement à distance.

Pour en savoir plus 👉 https://t.co/8pSDUKhC0z…

@IRD
@WACREN
 @burkina24 https://t.co/nxgUD9qRD5",DIRECCT,Wed Sep 14 12:25:20 +0000 2022
RDV du 2️⃣0️⃣ au 2️⃣1️⃣ Mai 2022 à l' Université Joseph KI-ZERBO! Liens utiles : Pour vous inscrire👉 https://t.co/6CyaIaohHg  Pour participer à distance👉 https://t.co/90S8prdICk Programme disponible ici : https://t.co/1Go0sqmrlr #ai4dev #intelligenceartificielle #esanté #recherche https://t.co/GAaKPnF6PV,CITADEL UVBF,Wed May 18 21:52:07 +0000 2022
"APPEL A COMMUNICATION
Séminaire sur l’Intelligence Artificielle : Fouille de données Et applications.
Du 20 au 21 Mai 2022 à l'Université Joseph KI-ZERBO
Plus d'informations sur : https://t.co/evYEIOdlVC 
@Universite_JKZ @OpenBurkina @cafdo_officiel https://t.co/4lajzfye4D",CITADEL UVBF,Fri Apr 22 18:11:39 +0000 2022
"Retour sur le lancement d' #AfricaDigitalCampus, ce 24 mars dernier au sein de l' Université Virtuelle du Burkina Faso. A look back at the launch of #AfricaDigitalCampus on March 24 at the Université Virtuelle du #BurkinaFaso @ird_fr 
https://t.co/3Z100t62NU",DIRECCT,Mon Apr 04 14:12:24 +0000 2022
"#AfricaDigitalCampus lancé le 24 mars 2022 à l’Université Virtuelle du Burkina-Faso. Ce projet en partenariat avec l'@ird_fr, le @WACREN et avec le soutien de l’#UE, vise le renforcement de la #formation en ligne #DIRECCT #Éducation #Afrique #numérique https://t.co/pw79qNqZ0k",DIRECCT,Mon Mar 28 13:59:20 +0000 2022
#AfricaDigitalCampus sera lancé le jeudi 24 mars 2022 à l’Université Virtuelle du Burkina Faso avec @AFD_France @ird_fr #WACREN. L'objectif: renforcer la coopération en matière d’enseignement à distance et d’infrastructures réseau en Afrique. https://t.co/8mXZ2RYNvR,DIRECCT,Tue Mar 22 12:27:37 +0000 2022
Ce fut un grand plaisir pour moi de coanimé un webinaire sur le thème de l’entrepreneuriat et de partager mon expérience aux étudiants du #Master #Fouilles de #Données et #IA de l’université Virtuelle du #Burkina Faso #uvbf. https://t.co/dWqhk7s4BP,TECHNATIUM,Thu Jan 27 08:42:13 +0000 2022
"#AmiNet
Retrouvez à 14h30 sur BF1 Pr Jean-Marie Dipama, Président de l'Université Virtuelle du #Burkina, et Teg-Wende @titinto_
d' @OpenBurkina

Ils présenteront le Centre d'Excellence Interdisciplinaire en Intelligence Artificielle pour le Développement (@citadel_uvbf)

#Invités https://t.co/s4kcC3Z7rn",AmiNet,Mon Nov 01 14:08:26 +0000 2021
"Le Faso - Université virtuelle du Burkina Faso : Le CITADEL, un « jeune homme » interdisciplinaire pour développer l'intelligence artificielle https://t.co/IcGfktwcbj https://t.co/hjn8kR3fGE",Afropages,Thu Oct 28 18:46:00 +0000 2021
"Plus que quelques heures pour le lancement officiel de @citadel_uvbf 
🕝14h30

Lieu : Université virtuelle du Burkina Faso sis à Ouaga 2000, boulevard Mouammar Kadhafi

Possibilité de participer en ligne https://t.co/7UCn9Xfy4C

#ai4dev
 #citadeluvbf https://t.co/1wMfWvuCZm",Open Burkina,Wed Oct 27 12:18:30 +0000 2021
"Accompagné de mon collègue de l’économie et des finances, j’ai effectué une visite sur le site du siège de l’Université Virtuelle du Burkina Faso afin de  
Constater l’état d’avancement des travaux.
Félicitations à tous les acteurs impliqués dans la réalisation de l’ouvrage https://t.co/LJnoEfZoLH",Pr Alkassoum Maïga,Wed Feb 10 17:39:19 +0000 2021
"Enseignement Supérieur : un studio mobile d’enregistrement pour l’Université Virtuelle du Burkina Faso. C’est un studio mobile complet de dernière génération...à lire👉 https://t.co/jaHZbAJkIv
https://t.co/z3xNqefTch
#DCPM_MESRSI
#Enseignement_Supérieur
#Recherche_Scientifique https://t.co/NQHga6R6ZP",DCRP/MESRI,Fri Nov 27 18:41:41 +0000 2020
