Auteur,Texte,Sentiment,Date,Texte_nettoye
Université Virtuelle du Burkina Faso - UVBF," 𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥 / Université Virtuelle du Burkina Faso - UVBF
Les étudiants dont les noms figurent sur les listes ci-dessous peuvent passer à l'Espace Numérique Ouvert de Karpala, ce Vendredi 08 Décembre 2023 afin de récupérer leurs ordinateurs Marques LENOVO CELERON et LENOVO core i3.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
– Chaque ét… En voir plus",neutre,01/01/2019,universit virtuel burkina faso uvbf tudiant dont nom figurer liste cidessous pouvoir passer lespace numriqu ouvert karpala vendredi dcembre afin rcuprer leur ordinateur marque lenovo celeron lenovo core i remettre ordinateur faire sein lespace numriqu ouvert karpala heure heure nb chaque voir plus
Salifou Haroun Ouamdande," Annonce du départ du Président du Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso (CSE-UV-BF) pour la Semaine Mondiale de la Francophonie Scientifique. 
 Chers membres du Club Scientifique,
C'est avec un immense plaisir que nous annonçons le départ de notre président, Salifou Haroun Ouamdande , pour représenter notre club à la 4ème Semaine Mondiale de la Francophonie Scientifique, qui se tiendra du #14 au #18 octobre 2024 à Toulouse. Cet événement international d'envergure rassemble une trentaine de ministres, une centaine de décideurs, ainsi que 250 enseignants-chercheurs et experts francophones, venus échanger sur le rôle de la diplomatie scientifique face aux défis de l'avenir.
En tant que leader d'association, Salifou Haroun Ouamdande  aura l'opportunité unique de se joindre à une centaine d'autres étudiants engagés dans la vie associative à travers le monde entier, pour partager leurs expériences et réfléchir aux enjeux futurs de la francophonie scientifique.
C'est une belle opportunité pour notre président et pour notre club d'être représentés à ce niveau. Nous lui souhaitons beaucoup de succès, de découvertes et de belles rencontres au cours de cet événement exceptionnel.
Félicitations et meilleurs vœux de réussite, Salifou Haroun Ouamdande  ! Nous sommes impatients d'entendre les retours enrichissants de cette aventure.
Bien à vous,
Le Club Scientifique des Étudiants 
.
 #SMFS2024 #cseuvbf
AUF Burkina Faso
Université Virtuelle du Burkina Faso - UVBF",neutre,01/01/2019,annonce dpart prsident club scientifique tudier luniversit virtuel burkina faso cseuvbf semaine mondial francophonie scientifique cher membre club scientifique cest immense plaisir annonon dpart prsident salifou haroun ouamdande reprsenter club semain mondial francophonie scientifique tiendra octobre toulous ce vnement international denvergur rassembler trentaine ministre centaine dcideur ainsi enseignantschercheur expert francophone venir changer rle diplomatie scientifique face dfis lavenir tant leader dassociation salifou haroun ouamdande lopportunit unique joindre centaine dautre tudiant engags vie associatif travers monde entier partager leur exprience rflchir enjeu futur francophonie scientifique cest beau opportunit prsident club dtre reprsent niveau souhaiter beaucoup succs dcouverte bel rencontre cours ce vnement exceptionnel flicitation meilleur vu russit salifou haroun ouamdande impatient dentendre retour enrichisser ce aventure bien club scientifique tudier auf burkina faso universit virtuel burkina faso uvbf
#URGENT_URGENT," #URGENT_URGENT
Pour des besoins urgents d'information, l' Université Virtuelle du Burkina Faso - UVBF collecte des données relatives aux Numéro Orange que les étudiants utilisent pour souscrire aux forfaits internet .
Merci de renseigner le formulaire suivant avant ce mardi décembre 2023 à 8h00 délai de rigueur.
#Lien_du_formulaire : https://forms.gle/Cqo9H3bRPxp7L71G8
#assistance:
#Whatsap : +226 65 02 29 27
#Appel : +226 73 50 40 90/ 79 19 13 47 
Intégrez le groupe WhatsApp d'info 
ici 
https://chat.whatsapp.com/KLffYQtdVsSLxo8bSTLn0c
HMAB Service, 𝑣𝑜𝑡𝑟𝑒 𝑚𝑒𝑖𝑙𝑙𝑒𝑢𝑟 𝑠𝑒𝑟𝑣𝑖𝑐𝑒 𝑑'𝑎𝑠𝑠𝑖𝑠𝑡𝑎𝑛𝑐𝑒 𝑒𝑛 𝑙𝑖𝑔𝑛𝑒
@followers @à la une",neutre,01/01/2019,besoin urgent dinformation universit virtuel burkina faso uvbf collect donne relatif numro orange tudiant utiliser souscrir forfait internet merci renseigner formulaire suivant avant mardi dcembr heure dler rigueur intgrer groupe whatsapp dinfo ici hmab service
Nagrin,"Chers étudiants de l'université virtuelle, je vous annonce qu'il ya une salle avec wifi à Nagrin, où vous pouvez suivre vos cours pour 200 francs CFA par jour. De plus, des sessions de soutien seront organisées pour expliquer les exercices, avec l'aide d'étudiants ayant déjà suivi ces cours. Profitez de cette opportunité pour renforcer vos connaissances!— à Nagrin.
Pour tout autre information contacter le 77066170 79731451— à Nagrin.",neutre,01/01/2019,cher tudiant luniversit virtuel annonce quil ya salle wifi nagrin o pouvoir suivre cours franc cfa jour plus session soutien organise expliquer exercice laid dtudiant dj suivi cours profiter ce opportunit renforcer connaissance nagrin tout autre information contacter nagrin
Université Virtuelle du Burkina Faso - UVBF,"Un autre prodige de l'Université Virtuelle du Burkina Faso - UVBF  , rendez vous ce soir à 20 h GMT pour le découvrir.
 En attendant sourions !
 #talentup #TalentUpBoost #etudiantentrepreneur #jeuneentrepreneur #StudentStartups #SoutienAuxÉtudiantsEntrepreneurs #YoungEntrepreneur #reseautage #EntrepreneuriatEtudiant #VisibilitéÉtudiantsEntrepreneurs #afterschoollab #ASlab",neutre,01/01/2019,autre prodige luniversit virtuel burkina faso uvbf rendez soir heure gmt dcouvrir attendre sourion
Université Virtuelle du Burkina Faso - UVBF," 𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥 /UVBF
Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, du  𝟐𝟑 𝐚𝐮 𝟐𝟒 𝐉𝐮𝐢𝐥𝐥𝐞𝐭 𝟐𝟎𝟐𝟒 𝐚𝐟𝐢𝐧 𝐝𝐞 𝐫é𝐜𝐮𝐩é𝐫𝐞𝐫 𝐥𝐞𝐮𝐫𝐬 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐌𝐚𝐫𝐪𝐮𝐞 𝐀𝐒𝐔𝐒 𝐢𝟑.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordin… En voir plus",neutre,01/01/2019,uvbf universit virtuel burkina faso uvbf informe tudiant dont nom figurer liste cidessou quils pouvoir passer lespace numriqu ouvert karpala remettre ordinateur faire sein lespace numriqu ouvert karpala heure heure nb chaque tudier devoir munir cnib retraire ordin voir plus
Karpala,"Enseignement supérieur : Ouverture de la première université virtuelle du Burkina 
Sous le patronage du premier ministre Mr Apollinaire kyelem a eu lieu l'inauguration de l'espace numérique ouvert de Karpala de l'université virtuelle du Burkina Faso ce vendredi 18 août 2023 à Ouagadougou. 
Crée en 2019, l’université a accueilli ses premiers étudiants en mai 2020. Avec 2 000 étudiants au départ elle compte accueillir environ 10.000 nouveaux bacheliers a la rentrée prochaine avec 03 filières en plus. Ces étudiants bénéficieront de 85% de réduction sur leurs achats d'ordinateur portable. Ils auront également droit à une connexion gratuite. Ce projet a un coût total de 80 milliards sur le budget de l'État. 15 autres universités de ce rang  sont en cours dans les différents chefs lieux du pays.— à Karpala
C'est une réponse aux nombreux problèmes que vivent les universités classiques. c'est une alternative crédible, moderne et durable pour un accès ""équitable""à un enseignement supérieur de qualité selon le ministre de l'enseignement supérieur, Adjima Thombiano. 
#Latribunedufaso",neutre,01/01/2019,enseignement suprieur ouverture premir universit virtuel burkina sou patronage premier ministre mr apollinaire kyelem avoir lieu linauguration lespace numriqu ouvert karpala luniversit virtuel burkina faso vendredi aot ouagadougou cre luniversit avoir accueillir premier tudiant mai tudiant dpart compte accueillir environ nouveau bachelier avoir rentrer prochain filire plus tudiant bnficieront rduction leur achat dordinateur portable galement droit connexion gratuit projet avoir cot total milliard budget ltat autre universit rang cours diffrent chef lieux pays karpala cest rponse nombreux problme vivre universit classique cest alternatif crdibl moderne durable acc quitabl enseignement suprieur qualit selon ministre lenseignemer suprieur adjima thombiano
Université Virtuelle du Burkina Faso - UVBF,"𝐉𝐞 𝐩𝐫𝐨𝐠𝐫𝐞𝐬𝐬𝐞 , 𝐣𝐞 𝐦'𝐚𝐦𝐞́𝐥𝐢𝐨𝐫𝐞 𝐭𝐨𝐮𝐬 𝐥𝐞𝐬 𝐣𝐨𝐮𝐫𝐬 𝐩𝐨𝐮𝐫 𝐬𝐚𝐭𝐢𝐬𝐟𝐚𝐢𝐫𝐞 𝐦𝐞𝐬 𝐜𝐥𝐢𝐞𝐧𝐭𝐬.......
Je suis Boris Hermann Nana , étudiant en génie logiciel à l'Université Virtuelle du Burkina Faso - UVBF   , infographe et developer indépendant et promoteur de Graphikart , qui offre des prestations de services digitaux ( création de sites web , logos , affiches , ... )
Contactez-nous au :
wa.me/+22652202413
Graphikart 
https://graphikart.netlify.app
Boris Hermann Nana 
After School Lab 
𝗧𝗮𝗹𝗲𝗻𝘁𝗨𝗽 𝗕𝗼𝗼𝘀𝘁 , 𝗘𝗻𝘀𝗲𝗺𝗯𝗹𝗲 𝗙𝗮𝗶𝘀𝗼𝗻𝘀 𝗯𝗿𝗶𝗹𝗹𝗲𝗿 𝗹'𝗲𝗻𝘁𝗿𝗲𝗽𝗿𝗲𝗻𝗲𝘂𝗿𝗶𝗮𝘁 𝗲́𝘁𝘂𝗱𝗶𝗮𝗻𝘁.
 #talentup #TalentUpBoost #etudiantentrepreneur #jeuneentrepreneur #StudentStartups #SoutienAuxÉtudiantsEntrepreneurs #YoungEntrepreneur #reseautage #EntrepreneuriatEtudiant #VisibilitéÉtudiantsEntrepreneurs #afterschoollab #ASlab #universitévirtuelleduBurkina",neutre,01/01/2019,bori hermann nana tudier gnie logiciel luniversit virtuel burkina faso uvbf infographe developer indpender promoteur graphikart offrir prestation service digital cration site web logo affiche contacteznou wame graphikart bori hermann nana after school lab
#colloque,"[Appel à communications] 
 Le Laboratoire LITICEF de l'Université Virtuelle du Burkina Faso - UVBF organise un #colloque international sur le thème ""Innovation(s) en Technologie de l’Information et de la Communication pour l’#enseignement et la #formation”.
 Vous avez jusqu'au 15 février pour envoyer votre proposition de communication.
 Tenue du colloque en présentiel et par visioconférence à #Ouagadougou, du 10 au 12 mai 2023.
T… En voir plus",neutre,01/01/2019,appel communication laboratoir liticef luniversit virtuel burkina faso uvbf organis international thme innovation technologie linformation communication jusquau fvrier envoyer proposition communication tenir colloqu prsentiel visioconfrence mai voir plus
Ouagadougou,"𝗕𝗿𝗮𝘃𝗼 𝗮̀ 𝗹'𝗲́𝗾𝘂𝗶𝗽𝗲 𝗱𝘂 𝗰𝗹𝘂𝗯 𝘀𝗰𝗶𝗲𝗻𝘁𝗶𝗳𝗶𝗾𝘂𝗲 𝗱𝗲 𝗹'𝗨𝗩-𝗕𝗙 !
Hier soir, lors de la 14ème édition du FRSIT (Forum National de Recherche Scientifique et des Innovations Technologiques) au SIAO, une équipe de membres du club scientifique de l'université virtuelle du Burkina Faso a remporté le 4ème prix du meilleur projet.
L'équipe, composée de :
𝙲𝙾𝚄𝙻𝙸𝙱𝙰𝙻𝚈 𝚂𝚘𝚐𝚘 𝙱𝚛𝚒𝚌𝚎 𝙸𝚜𝚖𝚊𝚎̈𝚕, SG du CSE-UVBF;—  heureux, à Ouagadougou.
𝙽𝙸𝙺𝙸𝙴𝙼𝙰 𝙰𝚋𝚍𝚘𝚞𝚕 𝚁𝚊𝚣𝚊𝚌𝚔, Chargé à l'organisation;
𝙽𝙸𝙺𝙸𝙴𝙼𝙰 𝚃. 𝙶. 𝚂𝚝𝚊𝚗𝚒𝚜𝚕𝚊𝚜, sympathisant du CSE-UVBF. 
L'équipe a présenté un projet intitulé Home & Framework Security. Ce projet vise à munir le entreprises, commerce, domiciles et administration publique des détecteurs de fumées, de CO, de gaz GPL et de flamme tout-en-un afin de prévenir les incendies et leurs impactes dévastatrices au Burkina Faso en particulier et en Afrique en général. 
Le prototype est muni d'un système d'alarme et de GSM facilitant ainsi la prévention.
Nous sommes très fiers de nos membres pour leur travail acharné et leur dévouement. Cette récompense est une reconnaissance de leur talent et de leur engagement envers la science et l'innovation.
Nous vous encourageons à continuer à travailler dur et à poursuivre vos rêves. Vous êtes une source d'inspiration pour nous tous.
𝗙𝗲́𝗹𝗶𝗰𝗶𝘁𝗮𝘁𝗶𝗼𝗻𝘀 !
#FRSIT #HAKATHON #UVBF #CSEUVBF #INNOVATIONS",positif,01/01/2019,hier soir lors dition frsit forum national recherche scientifique innovation technologique siao quip membre club scientifique luniversit virtuel burkina faso avoir remport prix meilleur projet lquip composer sg cseuvbf heureux ouagadougou charg lorganisation sympathiser cseuvbf lquip avoir prsent projet intitul hom framework security projet vise munir entreprise commerce domicile administration public dtecteur fume co gaz gpl flamme toutenun afin prvenir incendier leur impacte dvastatrice burkina faso particulier afrique gnral prototyp munir dun systme dalarm gsm faciliter ainsi prvention trs fier membre travail acharn dvouemer ce rcompense reconnaissance taler engagement envers science linnovation encourageon continuer travailler dur poursuivre rve source dinspiration tout
