Auteur,Texte,Date
Université Virtuelle du Burkina Faso - UVBF," 𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥 / Université Virtuelle du Burkina Faso - UVBF
Les étudiants dont les noms figurent sur les listes ci-dessous peuvent passer à l'Espace Numérique Ouvert de Karpala, ce Vendredi 08 Décembre 2023 afin de récupérer leurs ordinateurs Marques LENOVO CELERON et LENOVO core i3.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
– Chaque ét… En voir plus",01/01/2018
Salifou Haroun Ouamdande," Annonce du départ du Président du Club Scientifique des Étudiants de l'Université Virtuelle du Burkina Faso (CSE-UV-BF) pour la Semaine Mondiale de la Francophonie Scientifique. 
 Chers membres du Club Scientifique,
C'est avec un immense plaisir que nous annonçons le départ de notre président, Salifou Haroun Ouamdande , pour représenter notre club à la 4ème Semaine Mondiale de la Francophonie Scientifique, qui se tiendra du #14 au #18 octobre 2024 à Toulouse. Cet événement international d'envergure rassemble une trentaine de ministres, une centaine de décideurs, ainsi que 250 enseignants-chercheurs et experts francophones, venus échanger sur le rôle de la diplomatie scientifique face aux défis de l'avenir.
En tant que leader d'association, Salifou Haroun Ouamdande  aura l'opportunité unique de se joindre à une centaine d'autres étudiants engagés dans la vie associative à travers le monde entier, pour partager leurs expériences et réfléchir aux enjeux futurs de la francophonie scientifique.
C'est une belle opportunité pour notre président et pour notre club d'être représentés à ce niveau. Nous lui souhaitons beaucoup de succès, de découvertes et de belles rencontres au cours de cet événement exceptionnel.
Félicitations et meilleurs vœux de réussite, Salifou Haroun Ouamdande  ! Nous sommes impatients d'entendre les retours enrichissants de cette aventure.
Bien à vous,
Le Club Scientifique des Étudiants 
.
 #SMFS2024 #cseuvbf
AUF Burkina Faso
Université Virtuelle du Burkina Faso - UVBF",01/01/2018
#URGENT_URGENT," #URGENT_URGENT
Pour des besoins urgents d'information, l' Université Virtuelle du Burkina Faso - UVBF collecte des données relatives aux Numéro Orange que les étudiants utilisent pour souscrire aux forfaits internet .
Merci de renseigner le formulaire suivant avant ce mardi décembre 2023 à 8h00 délai de rigueur.
#Lien_du_formulaire : https://forms.gle/Cqo9H3bRPxp7L71G8
#assistance:
#Whatsap : +226 65 02 29 27
#Appel : +226 73 50 40 90/ 79 19 13 47 
Intégrez le groupe WhatsApp d'info 
ici 
https://chat.whatsapp.com/KLffYQtdVsSLxo8bSTLn0c
HMAB Service, 𝑣𝑜𝑡𝑟𝑒 𝑚𝑒𝑖𝑙𝑙𝑒𝑢𝑟 𝑠𝑒𝑟𝑣𝑖𝑐𝑒 𝑑'𝑎𝑠𝑠𝑖𝑠𝑡𝑎𝑛𝑐𝑒 𝑒𝑛 𝑙𝑖𝑔𝑛𝑒
@followers @à la une",01/01/2018
Auteur inconnu,Texte non disponible,01/01/2018
,,01/01/2018
Nagrin,"Chers étudiants de l'université virtuelle, je vous annonce qu'il ya une salle avec wifi à Nagrin, où vous pouvez suivre vos cours pour 200 francs CFA par jour. De plus, des sessions de soutien seront organisées pour expliquer les exercices, avec l'aide d'étudiants ayant déjà suivi ces cours. Profitez de cette opportunité pour renforcer vos connaissances!— à Nagrin.
Pour tout autre information contacter le 77066170 79731451— à Nagrin.",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"Un autre prodige de l'Université Virtuelle du Burkina Faso - UVBF  , rendez vous ce soir à 20 h GMT pour le découvrir.
 En attendant sourions !
 #talentup #TalentUpBoost #etudiantentrepreneur #jeuneentrepreneur #StudentStartups #SoutienAuxÉtudiantsEntrepreneurs #YoungEntrepreneur #reseautage #EntrepreneuriatEtudiant #VisibilitéÉtudiantsEntrepreneurs #afterschoollab #ASlab",01/01/2018
Université Virtuelle du Burkina Faso - UVBF," 𝗥𝗘𝗠𝗜𝗦𝗘 𝗗'𝗢𝗥𝗗𝗜𝗡𝗔𝗧𝗘𝗨𝗥 /UVBF
Université Virtuelle du Burkina Faso - UVBF  informe les étudiants dont les noms figurent sur les listes ci-dessous qu'ils peuvent passer à l'Espace Numérique Ouvert de Karpala, du  𝟐𝟑 𝐚𝐮 𝟐𝟒 𝐉𝐮𝐢𝐥𝐥𝐞𝐭 𝟐𝟎𝟐𝟒 𝐚𝐟𝐢𝐧 𝐝𝐞 𝐫é𝐜𝐮𝐩é𝐫𝐞𝐫 𝐥𝐞𝐮𝐫𝐬 𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐮𝐫𝐬 𝐝𝐞 𝐌𝐚𝐫𝐪𝐮𝐞 𝐀𝐒𝐔𝐒 𝐢𝟑.
La remise des ordinateurs se fait au sein de l'Espace Numérique Ouvert de Karpala de 08h à 15h.
N.B:
- Chaque étudiant doit se munir de sa CNIB pour le retrait de son ordin… En voir plus",01/01/2018
Karpala,"Enseignement supérieur : Ouverture de la première université virtuelle du Burkina 
Sous le patronage du premier ministre Mr Apollinaire kyelem a eu lieu l'inauguration de l'espace numérique ouvert de Karpala de l'université virtuelle du Burkina Faso ce vendredi 18 août 2023 à Ouagadougou. 
Crée en 2019, l’université a accueilli ses premiers étudiants en mai 2020. Avec 2 000 étudiants au départ elle compte accueillir environ 10.000 nouveaux bacheliers a la rentrée prochaine avec 03 filières en plus. Ces étudiants bénéficieront de 85% de réduction sur leurs achats d'ordinateur portable. Ils auront également droit à une connexion gratuite. Ce projet a un coût total de 80 milliards sur le budget de l'État. 15 autres universités de ce rang  sont en cours dans les différents chefs lieux du pays.— à Karpala
C'est une réponse aux nombreux problèmes que vivent les universités classiques. c'est une alternative crédible, moderne et durable pour un accès ""équitable""à un enseignement supérieur de qualité selon le ministre de l'enseignement supérieur, Adjima Thombiano. 
#Latribunedufaso",01/01/2018
Université Virtuelle du Burkina Faso - UVBF,"𝐉𝐞 𝐩𝐫𝐨𝐠𝐫𝐞𝐬𝐬𝐞 , 𝐣𝐞 𝐦'𝐚𝐦𝐞́𝐥𝐢𝐨𝐫𝐞 𝐭𝐨𝐮𝐬 𝐥𝐞𝐬 𝐣𝐨𝐮𝐫𝐬 𝐩𝐨𝐮𝐫 𝐬𝐚𝐭𝐢𝐬𝐟𝐚𝐢𝐫𝐞 𝐦𝐞𝐬 𝐜𝐥𝐢𝐞𝐧𝐭𝐬.......
Je suis Boris Hermann Nana , étudiant en génie logiciel à l'Université Virtuelle du Burkina Faso - UVBF   , infographe et developer indépendant et promoteur de Graphikart , qui offre des prestations de services digitaux ( création de sites web , logos , affiches , ... )
Contactez-nous au :
wa.me/+22652202413
Graphikart 
https://graphikart.netlify.app
Boris Hermann Nana 
After School Lab 
𝗧𝗮𝗹𝗲𝗻𝘁𝗨𝗽 𝗕𝗼𝗼𝘀𝘁 , 𝗘𝗻𝘀𝗲𝗺𝗯𝗹𝗲 𝗙𝗮𝗶𝘀𝗼𝗻𝘀 𝗯𝗿𝗶𝗹𝗹𝗲𝗿 𝗹'𝗲𝗻𝘁𝗿𝗲𝗽𝗿𝗲𝗻𝗲𝘂𝗿𝗶𝗮𝘁 𝗲́𝘁𝘂𝗱𝗶𝗮𝗻𝘁.
 #talentup #TalentUpBoost #etudiantentrepreneur #jeuneentrepreneur #StudentStartups #SoutienAuxÉtudiantsEntrepreneurs #YoungEntrepreneur #reseautage #EntrepreneuriatEtudiant #VisibilitéÉtudiantsEntrepreneurs #afterschoollab #ASlab #universitévirtuelleduBurkina",01/01/2018
